Modelo,Ano,Preço,KM,Estado
 Bmw 320i SPORT TURBO ACTIVE ,2017, R$ 135.299 ,52285,São Paulo
 Audi Q5 TFSI PRESTIGE ,2019, R$ 224.799 ,24468,São Paulo
 Honda Civic TURBO TOURING ,2020, R$ 144.799 ,24919,São Paulo
 Honda Hr-V EX ,2016, R$ 85.499 ,65428,São Paulo
 Volvo Xc40 T5 R-DESIGN AWD ,2018, R$ 205.299 ,59460,São Paulo
 Ford Fusion TITANIUM AWD ,2018, R$ 114.799 ,44400,São Paulo
 Jeep Renegade LIMITED ,2016, R$ 71.999 ,60000,São Paulo
 Bmw X2 ACTIVE SDRIVE18I GP ,2019, R$ 177.299 ,20155,São Paulo
 Honda Hr-V EXL ,2016, R$ 85.999 ,101898,São Paulo
 Audi A3 TFSI SEDAN AMBITION ,2016, R$ 94.499 ,70337,São Paulo
 Toyota Corolla GLI UPPER ,2017, R$ 83.299 ,71338,São Paulo
 Volkswagen Golf MSI COMFORTLINE TOTAL ,2016, R$ 75.499 ,98943,São Paulo
 Honda Civic ONE EXL ,2017, R$ 102.799 ,33300,São Paulo
 Honda Hr-V EX ,2020, R$ 115.299 ,8440,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 79.999 ,85720,São Paulo
 Land Rover Discovery Sport SI4 TURBO SE ,2015, R$ 124.799 ,101782,São Paulo
 Mercedes Benz GLE 400 V6 COUPE 4MATIC ,2016, R$ 311.299 ,77387,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 60.499 ,90869,São Paulo
 Hyundai Creta PULSE PLUS ,2019, R$ 91.999 ,42995,São Paulo
 Honda Hr-V EXL ,2016, R$ 86.799 ,84739,São Paulo
 Chevrolet Camaro LT COUPE V6 ,2010, R$ 163.799 ,70434,São Paulo
 Chevrolet Cruze LT SPORT6 ,2014, R$ 58.299 ,86480,São Paulo
 Hyundai Elantra AUTOMATICO FLEX ,2018, R$ 81.499 ,50742,São Paulo
 Bmw 320i SPORT GP TURBO ,2013, R$ 90.999 ,70270,São Paulo
 Mercedes Benz C 180 CGI EXCLUSIVE ,2018, R$ 145.999 ,60022,São Paulo
 Renault Captur SCE LIFE ,2019, R$ 79.999 ,25937,São Paulo
 Audi A3 TFSI SEDAN ,2015, R$ 89.799 ,59000,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2014, R$ 77.799 ,88802,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.499 ,103617,São Paulo
 Ford Eco Sport FREESTYLE ,2014, R$ 52.999 ,93264,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2019, R$ 94.799 ,52553,São Paulo
 Dodge Journey RT V6 ,2017, R$ 93.799 ,37627,São Paulo
 Volvo XC60 T5 KINETIC ,2017, R$ 110.799 ,78559,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.999 ,81299,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 77.799 ,69677,São Paulo
 Jeep Compass NIGHT EAGLE ,2018, R$ 109.299 ,41963,São Paulo
 Toyota Corolla GLI ,2017, R$ 82.299 ,94624,São Paulo
 Chevrolet Cruze LT SPORT6 ,2016, R$ 69.499 ,81640,São Paulo
 Honda Hr-V LX ,2016, R$ 78.499 ,104159,São Paulo
 Ford Eco Sport TITANIUM PLUS ,2013, R$ 51.299 ,103760,São Paulo
 Mitsubishi ASX AWD ,2018, R$ 99.299 ,44749,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.799 ,70507,São Paulo
 Ford Eco Sport SE ,2017, R$ 62.299 ,64421,São Paulo
 Chevrolet Cruze TURBO LTZ ,2017, R$ 85.799 ,71666,São Paulo
 Citroën C4 Lounge MPFI TENDANCE ,2015, R$ 46.499 ,100750,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2019, R$ 94.499 ,54191,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,48065,São Paulo
 Jeep Renegade SPORT ,2016, R$ 66.799 ,110213,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,76288,São Paulo
 Honda Civic LX ,2021, R$ 117.299 ,22000,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.999 ,82999,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,48177,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 59.999 ,107294,São Paulo
 Mitsubishi ASX AUTOMATICO GASOLINA ,2015, R$ 73.999 ,85999,São Paulo
 Bmw 320i SPORT TURBO ACTIVE ,2017, R$ 134.299 ,73564,São Paulo
 Volkswagen Jetta COMFORTLINE ,2014, R$ 63.999 ,69007,São Paulo
 Honda Civic ONE EX ,2017, R$ 99.799 ,60508,São Paulo
 Mini Countryman S ALL4 TURBO ,2014, R$ 120.499 ,64629,São Paulo
 Honda City EXL ,2018, R$ 85.299 ,62379,São Paulo
 Honda Hr-V EXL ,2016, R$ 86.299 ,97428,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.799 ,87383,São Paulo
 Toyota Corolla GLI ,2016, R$ 75.999 ,98800,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 76.999 ,89902,São Paulo
 Toyota Corolla XEI ,2015, R$ 79.299 ,92371,São Paulo
 Chevrolet Cruze LTZ ,2016, R$ 68.299 ,108170,São Paulo
 Bmw 320i M SPORT GP TURBO ACTIVE ,2017, R$ 144.299 ,27447,São Paulo
 Volkswagen Tiguan 350 TSI ALLSPACE R-LINE ,2018, R$ 189.799 ,57519,São Paulo
 Ford Eco Sport SE ,2014, R$ 52.299 ,57495,São Paulo
 Nissan Kicks START SL ,2019, R$ 93.799 ,46409,São Paulo
 Volkswagen Jetta 250 TSI TOTAL ,2018, R$ 101.999 ,47574,São Paulo
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 72.299 ,39339,São Paulo
 Audi Q3 TFSI AMBIENTE QUATTRO ,2015, R$ 97.799 ,80208,São Paulo
 Land Rover Discovery Sport SI4 TURBO SE ,2017, R$ 158.499 ,69335,São Paulo
 Toyota Corolla XEI ,2016, R$ 82.799 ,95530,São Paulo
 Mercedes Benz A 250 SPORT TURBO ,2015, R$ 128.999 ,65034,São Paulo
 Nissan Kicks START SL ,2018, R$ 85.299 ,73080,São Paulo
 Hyundai Elantra AUTOMATICO FLEX ,2018, R$ 81.499 ,50800,São Paulo
 Hyundai Creta ATTITUDE ,2017, R$ 80.499 ,85400,São Paulo
 Toyota Corolla GLI ,2016, R$ 77.299 ,59415,São Paulo
 Jeep Renegade SPORT ,2017, R$ 71.299 ,47089,São Paulo
 Volkswagen Jetta TSI TRENDLINE ,2016, R$ 70.999 ,71122,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 60.499 ,87043,São Paulo
 Land Rover Discovery Sport SI4 TURBO HSE ,2018, R$ 190.999 ,63230,São Paulo
 Peugeot 2008 GRIFFE ,2017, R$ 62.999 ,73590,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2018, R$ 153.799 ,70000,São Paulo
 Chery Arrizo 6 GSX ,2021, R$ 105.799 ,7060,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.799 ,77749,São Paulo
 Land Rover Discovery Sport SI4 TURBO HSE LUXURY ,2017, R$ 191.999 ,48060,São Paulo
 Ford Eco Sport TITANIUM ,2014, R$ 54.299 ,79970,São Paulo
 Fiat Toro EVO FREEDOM ,2018, R$ 90.299 ,59880,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 104.999 ,62700,São Paulo
 Chevrolet Cruze TURBO LT ,2020, R$ 106.799 ,33210,São Paulo
 Hyundai HB20S COMFORT PLUS ,2017, R$ 58.799 ,61000,São Paulo
 Audi A3 TFSI SEDAN ,2015, R$ 73.799 ,101200,São Paulo
 Mitsubishi ASX AUTOMATICO GASOLINA ,2014, R$ 68.799 ,106005,São Paulo
 Bmw 320i SPORT GP TURBO ACTIVE ,2018, R$ 152.799 ,53469,São Paulo
 Jeep Renegade STD ,2017, R$ 69.999 ,40000,São Paulo
 Fiat Toro TURBO RANCH 4WD ,2020, R$ 153.799 ,27500,São Paulo
 Nissan Kicks START SL ,2019, R$ 93.299 ,53210,São Paulo
 Fiat Toro EVO FREEDOM ,2017, R$ 85.499 ,80200,São Paulo
 Volkswagen Golf TSI HIGHLINE TOTAL ,2016, R$ 92.799 ,83700,São Paulo
 Chevrolet S10 LS CD TURBO ,2017, R$ 134.799 ,60760,São Paulo
 Chevrolet Cruze TURBO LTZ ,2017, R$ 85.499 ,82241,São Paulo
 Fiat Toro TURBO VOLCANO 4WD ,2020, R$ 150.799 ,39000,São Paulo
 Audi A3 TFSI  SEDAN PRESTIGE PLUS ,2020, R$ 144.999 ,22000,São Paulo
 Chevrolet Cruze TURBO LTZ ,2018, R$ 92.299 ,64300,São Paulo
 Renault Duster HI- DYNAMIQUE ,2018, R$ 70.499 ,64567,São Paulo
 Mini Cooper S CABRIO TURBO ,2018, R$ 189.299 ,35600,São Paulo
 Mini Countryman TWINPOWER TURBO COOPER ,2018, R$ 127.499 ,32752,São Paulo
 Chevrolet Cruze LT ,2015, R$ 63.299 ,76250,São Paulo
 Mini Cooper TWINPOWER EXCLUSIVE ,2019, R$ 134.499 ,26420,São Paulo
 Toyota HILUX SW4 SR ,2012, R$ 93.299 ,92397,São Paulo
 Mini Cooper S TOP TURBO ,2017, R$ 129.499 ,68270,São Paulo
 Fiat Cronos 1.3 MANUAL ,2022, R$ 75.299 ,13800,São Paulo
 Peugeot 2008 GRIFFE ,2019, R$ 75.999 ,36596,São Paulo
 Hyundai HB20S COMFORT PLUS ,2019, R$ 66.299 ,45539,São Paulo
 Hyundai Creta ATTITUDE ,2019, R$ 85.299 ,42661,São Paulo
 Volvo XC60 T5 KINETIC ,2017, R$ 111.799 ,54370,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 91.999 ,37326,São Paulo
 Ford Eco Sport SE ,2016, R$ 57.299 ,75778,São Paulo
 Peugeot 2008 ALLURE ,2018, R$ 63.499 ,79465,São Paulo
 Dodge Journey RT V6 ,2011, R$ 51.299 ,95220,São Paulo
 Mitsubishi Pajero HPE 7L V6 ,2017, R$ 124.999 ,69311,São Paulo
 Volkswagen Voyage MSI TOTAL TRENDLINE ,2018, R$ 49.299 ,43410,São Paulo
 Ford Focus TITANIUM ,2015, R$ 56.299 ,74250,São Paulo
 Honda Hr-V LX ,2016, R$ 80.499 ,103000,São Paulo
 Ford Fusion AUTOMATICO FLEX ,2014, R$ 65.799 ,95145,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2017, R$ 126.799 ,65780,São Paulo
 Jeep Renegade MOAB ,2021, R$ 135.299 ,19610,São Paulo
 Audi Q3 TFSI ATTRACTION ,2017, R$ 114.299 ,60000,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 56.999 ,92875,São Paulo
 Ford Focus SE ,2015, R$ 53.499 ,108380,São Paulo
 Kia Sportage EX ,2019, R$ 128.299 ,53350,São Paulo
 Chevrolet Cruze TURBO LT ,2017, R$ 82.299 ,75410,São Paulo
 Audi A4 TFSI AMBIENTE ,2015, R$ 95.799 ,79770,São Paulo
 Volkswagen Spacefox MI SPORTLINE ,2012, R$ 37.499 ,89360,São Paulo
 Ford Focus SE SEDAN ,2014, R$ 49.999 ,92860,São Paulo
 Land Rover Range Rover Evoque SE DYNAMIC 4WD ,2017, R$ 178.299 ,67310,São Paulo
 Volkswagen Jetta COMFORTLINE ,2012, R$ 53.299 ,93650,São Paulo
 Volkswagen Jetta I VARIANT ,2012, R$ 53.499 ,103380,São Paulo
 Audi A4 TFSI ATTRACTION ,2015, R$ 95.999 ,71000,São Paulo
 Ford Fusion SEL ,2017, R$ 92.299 ,100040,São Paulo
 Mitsubishi Pajero Full HPE V6 ,2013, R$ 101.299 ,91300,São Paulo
 Hyundai HB20S PREMIUM ,2018, R$ 69.799 ,46326,São Paulo
 Land Rover Range Rover Evoque PURE TECH 4WD ,2012, R$ 99.799 ,111450,São Paulo
 Mini Countryman S ALL4 TURBO ,2016, R$ 132.799 ,65759,São Paulo
 Jeep Renegade SPORT ,2017, R$ 70.999 ,52438,São Paulo
 Honda Hr-V EX ,2016, R$ 84.499 ,95010,São Paulo
 Volkswagen Tiguan 250 TSI TOTAL ALLSPACE ,2019, R$ 145.999 ,16875,São Paulo
 Citroën C4 Lounge ORIGINE TURBO ,2017, R$ 59.999 ,60844,São Paulo
 Honda Civic ONE EXL ,2019, R$ 115.999 ,32242,São Paulo
 Mini Countryman S ALL4 TURBO ,2014, R$ 118.799 ,98376,São Paulo
 Mitsubishi ASX GASOLINA MANUAL ,2016, R$ 74.499 ,97364,São Paulo
 Jeep Compass TRAILHAWK ,2018, R$ 146.499 ,45000,São Paulo
 Land Rover Discovery Sport SI4 TURBO SE ,2017, R$ 158.999 ,63640,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2015, R$ 73.299 ,87235,São Paulo
 Volkswagen Jetta COMFORTLINE ,2014, R$ 63.499 ,88842,São Paulo
 Land Rover Discovery Sport SI4 TURBO SE ,2017, R$ 157.799 ,79156,São Paulo
 Renault Duster Oroch HI- DYNAMIQUE ,2019, R$ 80.799 ,58410,São Paulo
 Chevrolet Prisma MPFI LT ,2017, R$ 55.299 ,78780,São Paulo
 Bmw 320i SPORT TURBO ACTIVE ,2017, R$ 135.799 ,45790,São Paulo
 Ford Fusion TITANIUM AWD ,2017, R$ 103.999 ,91550,São Paulo
 Jeep Renegade TURBO TRAILHAWK ,2016, R$ 99.299 ,105000,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.299 ,58103,São Paulo
 Volkswagen Golf TSI VARIANT HIGHLINE ,2016, R$ 86.299 ,47801,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2014, R$ 77.799 ,90235,São Paulo
 Volvo Xc40 T5 R-DESIGN AWD ,2019, R$ 225.999 ,28595,São Paulo
 Hyundai Creta SMART ,2019, R$ 88.999 ,36595,São Paulo
 Chevrolet Cruze TURBO SPORT6 LT ,2018, R$ 87.299 ,55000,São Paulo
 Jeep Compass LIMITED ,2017, R$ 102.799 ,84978,São Paulo
 Ford Fusion TITANIUM FWD ,2015, R$ 76.799 ,108227,São Paulo
 Mini Cooper TWINPOWER JOHN COOPER WORKS ,2019, R$ 207.499 ,33146,São Paulo
 Jeep Compass LONGITUDE ,2017, R$ 99.799 ,78197,São Paulo
 Hyundai ix35 MPFI GL ,2018, R$ 93.499 ,61000,São Paulo
 Volvo Xc40 T4 INSCRIPTION AWD ,2020, R$ 225.299 ,17284,São Paulo
 Honda City LX ,2016, R$ 66.799 ,81340,São Paulo
 Mercedes Benz GLC 250 CGI COUPE 4MATIC ,2017, R$ 295.499 ,65750,São Paulo
 Volvo XC60 T5 INSCRIPTION AWD ,2018, R$ 215.999 ,55000,São Paulo
 Honda Civic ONE EXL ,2017, R$ 101.499 ,64750,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,46340,São Paulo
 Citroën C4 Lounge TENDANCE TURBO ,2015, R$ 50.799 ,98280,São Paulo
 Honda Hr-V EXL ,2016, R$ 85.799 ,110730,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,65210,São Paulo
 Toyota Corolla XEI ,2015, R$ 78.499 ,109565,São Paulo
 Ford Focus S SEDAN ,2015, R$ 54.299 ,67370,São Paulo
 Chevrolet Tracker TURBO LT ,2018, R$ 83.299 ,67500,São Paulo
 Jeep Renegade STD ,2016, R$ 65.299 ,67150,São Paulo
 Bmw X5 I6 TURBO XDRIVE35I ,2014, R$ 173.799 ,111660,São Paulo
 Hyundai HB20S COMFORT PLUS ,2019, R$ 69.499 ,43565,São Paulo
 Land Rover Range Rover Sport HSE V6 TURBO ,2015, R$ 267.799 ,68560,São Paulo
 Ford Fusion SEL ,2018, R$ 96.299 ,50700,São Paulo
 Hyundai ix35 MPI ,2014, R$ 74.299 ,92877,São Paulo
 Chevrolet Cruze TURBO LT ,2019, R$ 95.299 ,26803,São Paulo
 Hyundai Creta ATTITUDE ,2020, R$ 89.499 ,21101,São Paulo
 Mercedes Benz C 180 CGI AVANTGARDE ,2018, R$ 140.299 ,53100,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2015, R$ 108.299 ,100000,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2017, R$ 127.999 ,59480,São Paulo
 Renault Captur SCE INTENSE ,2019, R$ 81.999 ,46870,São Paulo
 Bmw 328i M SPORT ACTIVE ,2018, R$ 188.799 ,42350,São Paulo
 Mercedes Benz GLC 250 CGI COUPE 4MATIC ,2017, R$ 294.299 ,76796,São Paulo
 Volvo XC60 T5 MOMENTUM AWD ,2018, R$ 208.999 ,59419,São Paulo
 Hyundai Creta ATTITUDE ,2018, R$ 84.299 ,20000,São Paulo
 Hyundai Creta PULSE ,2017, R$ 84.999 ,88000,São Paulo
 Jeep Compass NIGHT EAGLE ,2018, R$ 109.299 ,43700,São Paulo
 Honda City LX ,2017, R$ 71.299 ,46505,São Paulo
 Hyundai HB20S COMFORT PLUS ,2016, R$ 56.299 ,79530,São Paulo
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 68.299 ,45825,São Paulo
 Hyundai Creta PRESTIGE ,2017, R$ 90.299 ,51058,São Paulo
 Hyundai Creta PRESTIGE ,2018, R$ 96.799 ,72782,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.299 ,44190,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.799 ,93370,São Paulo
 Jeep Compass LIMITED ,2017, R$ 102.999 ,79330,São Paulo
 Hyundai Creta SMART ,2019, R$ 89.799 ,22000,São Paulo
 Jeep Renegade LONGITUDE ,2017, R$ 75.299 ,43800,São Paulo
 Chevrolet Cruze TURBO LTZ ,2018, R$ 91.999 ,69050,São Paulo
 Volkswagen Gol MI COMFORTLINE ,2016, R$ 44.299 ,83630,São Paulo
 Hyundai Creta PULSE PLUS ,2019, R$ 91.799 ,51821,São Paulo
 Audi A4 TFSI ATTRACTION ,2017, R$ 110.799 ,71150,São Paulo
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2016, R$ 91.999 ,105500,São Paulo
 Chevrolet Cruze LT ,2014, R$ 56.299 ,67480,São Paulo
 Volkswagen Crossfox MI ,2013, R$ 42.499 ,95687,São Paulo
 Ford Eco Sport FREESTYLE ,2014, R$ 52.799 ,104500,São Paulo
 Chevrolet Cruze TURBO LTZ ,2018, R$ 92.299 ,66092,São Paulo
 Jeep Renegade LONGITUDE ,2017, R$ 74.499 ,71660,São Paulo
 Volkswagen Jetta TSI HIGHLINE ,2012, R$ 60.799 ,94754,São Paulo
 Kia Cadenza V6 ,2014, R$ 72.799 ,109600,São Paulo
 Hyundai Azera MPFI GLS V6 ,2015, R$ 82.799 ,94240,São Paulo
 Volkswagen Gol MPI TOTAL TRENDLINE ,2017, R$ 42.499 ,103565,São Paulo
 Honda Civic CIVIC ONE EXL ,2020, R$ 124.499 ,39740,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2017, R$ 126.499 ,87250,São Paulo
 Ford Fusion TITANIUM FWD ,2016, R$ 83.499 ,90000,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 76.999 ,93610,São Paulo
 Peugeot 2008 GRIFFE ,2017, R$ 63.299 ,66440,São Paulo
 Volvo XC60 T5 KINETIC ,2017, R$ 115.299 ,93460,São Paulo
 Fiat Toro EVO FREEDOM ,2019, R$ 96.799 ,50620,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.799 ,73000,São Paulo
 Suzuki Vitara 4YOU ALLGRIP ,2019, R$ 98.799 ,49700,São Paulo
 Citroën C4 Lounge MPFI TENDANCE ,2015, R$ 46.499 ,103390,São Paulo
 Volkswagen Golf TSI GTI TURBO ,2014, R$ 124.299 ,85000,São Paulo
 Porsche Cayenne S V8 ,2011, R$ 161.799 ,85630,São Paulo
 Peugeot 2008 GRIFFE ,2017, R$ 62.799 ,90490,São Paulo
 Bmw 320i TURBO ACTIVE ,2015, R$ 106.799 ,66770,São Paulo
 Mini Countryman S ALL4 TURBO ,2015, R$ 126.299 ,99090,São Paulo
 Fiat Freemont EMOTION ,2014, R$ 60.299 ,97610,São Paulo
 Hyundai Creta SMART ,2019, R$ 89.299 ,34200,São Paulo
 Ford Focus S SEDAN ,2014, R$ 49.499 ,96000,São Paulo
 Hyundai ix35 MPFI GLS ,2015, R$ 76.299 ,85838,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2018, R$ 97.499 ,32210,São Paulo
 Volkswagen Jetta 250 TSI TOTAL COMFORTLINE ,2019, R$ 107.799 ,51680,São Paulo
 Ford Focus SE ,2015, R$ 53.999 ,86305,São Paulo
 Ford Fusion TITANIUM AWD ,2018, R$ 112.999 ,84440,São Paulo
 Mercedes Benz C 180 CGI EXCLUSIVE 7G-TRONIC ,2016, R$ 118.499 ,84310,São Paulo
 Bmw X2 TURBO SDRIVE20I M SPORT X ,2019, R$ 216.799 ,47150,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.999 ,47770,São Paulo
 Honda City EXL ,2019, R$ 89.299 ,48070,São Paulo
 Hyundai ix35 MPFI GLS ,2015, R$ 75.999 ,93843,São Paulo
 Audi A3 TFSI SEDAN PRESTIGE PLUS ,2019, R$ 122.799 ,54648,São Paulo
 Hyundai Creta ATTITUDE ,2019, R$ 85.799 ,38586,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 72.299 ,39000,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.499 ,38963,São Paulo
 Ford Fusion TITANIUM AWD ,2016, R$ 90.999 ,69430,São Paulo
 Ford Eco Sport TITANIUM ,2017, R$ 66.999 ,41000,São Paulo
 Mercedes Benz E 250 CGI EXCLUSIVE LAUNCH EDITION ,2017, R$ 224.299 ,24810,São Paulo
 Volkswagen Tiguan 250 TSI TOTAL COMFORTLINE ,2018, R$ 141.299 ,44400,São Paulo
 Toyota Corolla GLI UPPER ,2017, R$ 82.799 ,79136,São Paulo
 Volvo V40 T5 R DESIGN TURBO ,2014, R$ 81.299 ,104560,São Paulo
 Jeep Compass SPORT ,2018, R$ 97.999 ,37407,São Paulo
 Bmw 320i SPORT GP TURBO ACTIVE ,2017, R$ 135.799 ,46000,São Paulo
 Nissan Kicks START S ,2019, R$ 79.299 ,29155,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 104.799 ,71744,São Paulo
 Hyundai HB20X STYLE ,2018, R$ 69.999 ,36965,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 71.999 ,76900,São Paulo
 Fiat Toro EVO FREEDOM ,2019, R$ 97.299 ,42850,São Paulo
 Hyundai Creta ATTITUDE ,2018, R$ 82.799 ,67294,São Paulo
 Jeep Compass LIMITED ,2019, R$ 125.299 ,52070,São Paulo
 Audi A4 TFSI ATTRACTION ,2015, R$ 95.999 ,71602,São Paulo
 Volkswagen Spacefox MI HIGHLINE ,2014, R$ 42.799 ,101494,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 104.999 ,61000,São Paulo
 Jeep Renegade SPORT ,2020, R$ 82.999 ,32757,São Paulo
 Hyundai HB20S COMFORT PLUS ,2018, R$ 66.299 ,50100,São Paulo
 Nissan Kicks START SV ,2018, R$ 83.799 ,54206,São Paulo
 Ford Eco Sport FREESTYLE PLUS ,2016, R$ 61.299 ,104030,São Paulo
 Volkswagen Tiguan 250 TSI TOTAL ALLSPACE ,2019, R$ 145.499 ,25536,São Paulo
 Jeep Compass SPORT ,2018, R$ 97.799 ,44919,São Paulo
 Renault Duster SCE DYNAMIQUE ,2019, R$ 74.799 ,42456,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2015, R$ 74.299 ,51380,São Paulo
 Ford Eco Sport TITANIUM ,2013, R$ 51.799 ,73530,São Paulo
 Volvo XC60 T5 MOMENTUM ,2016, R$ 108.499 ,69780,São Paulo
 Volvo XC60 T5 INSCRIPTION AWD ,2018, R$ 215.299 ,63220,São Paulo
 Mitsubishi ASX AWD ,2019, R$ 105.799 ,27230,São Paulo
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 93.799 ,54670,São Paulo
 Jeep Renegade TURBO TRAILHAWK ,2018, R$ 115.299 ,72050,São Paulo
 Jeep Renegade LIMITED ,2017, R$ 77.299 ,73000,São Paulo
 Fiat Toro TURBO VOLCANO 4WD ,2017, R$ 116.299 ,94240,São Paulo
 Volkswagen Golf TSI GTI TURBO ,2017, R$ 152.999 ,82650,São Paulo
 Volkswagen Tiguan 350 TSI ALLSPACE R-LINE ,2019, R$ 202.499 ,36000,São Paulo
 Nissan Kicks START SV ,2018, R$ 83.299 ,64077,São Paulo
 Jeep Renegade LONGITUDE ,2017, R$ 74.999 ,57637,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,75100,São Paulo
 Bmw X2 TURBO SDRIVE20I M SPORT X ,2018, R$ 213.799 ,36000,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 90.499 ,77730,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 80.799 ,62350,São Paulo
 Fiat Freemont PRECISION ,2015, R$ 69.999 ,93400,São Paulo
 Mercedes Benz C 180 CGI AVANTGARDE ,2017, R$ 127.999 ,76550,São Paulo
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 93.799 ,57260,São Paulo
 Volvo XC60 T5 KINETIC ,2017, R$ 110.499 ,79170,São Paulo
 Fiat Toro EVO FREEDOM ,2018, R$ 90.299 ,59440,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.799 ,52370,São Paulo
 Bmw X6 35I COUPE 6 CILINDROS ,2014, R$ 164.999 ,69000,São Paulo
 Volkswagen Golf TSI VARIANT COMFORTLINE ,2015, R$ 77.299 ,94810,São Paulo
 Volvo XC60 T5 KINETIC ,2017, R$ 116.299 ,72065,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.999 ,50050,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.499 ,39545,São Paulo
 Mercedes Benz C 250 CGI SPORT TURBO ,2014, R$ 151.999 ,67621,São Paulo
 Toyota Corolla GLI ,2016, R$ 76.799 ,76710,São Paulo
 Volkswagen Golf TSI HIGHLINE TOTAL ,2017, R$ 112.499 ,41786,São Paulo
 Honda Civic TURBO TOURING ,2018, R$ 125.799 ,66000,São Paulo
 Mercedes Benz C 180 CGI AVANTGARDE 7G-TRONIC ,2016, R$ 118.999 ,68400,São Paulo
 Ford Eco Sport SE ,2017, R$ 62.499 ,56190,São Paulo
 Peugeot 2008 ALLURE ,2020, R$ 77.799 ,25185,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2016, R$ 115.299 ,69000,São Paulo
 Hyundai ix35 MPI ,2014, R$ 74.799 ,74400,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 65.999 ,71210,São Paulo
 Mercedes Benz GLC 250 CGI COUPE 4MATIC ,2018, R$ 321.299 ,21870,São Paulo
 Volkswagen Tiguan TSI TURBO DSG ,2017, R$ 93.299 ,96754,São Paulo
 Mercedes Benz E 250 CGI AVANTGARDE ,2017, R$ 206.799 ,52417,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,64045,São Paulo
 Bmw 320i SPORT TURBO ACTIVE ,2015, R$ 109.799 ,77610,São Paulo
 Jeep Compass LONGITUDE ,2017, R$ 99.799 ,78130,São Paulo
 Hyundai ix35 MPI ,2014, R$ 73.999 ,96439,São Paulo
